Time, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
0.3533334,1.574533E-11,0.4999976,8.319818E-08,1.707547E-06,4.561241E-06,6.544296E-07
0.4641041,2.184336E-11,0.4999974,2.527492E-07,1.707547E-06,1.008169E-05,1.446484E-06
0.5644615,2.771458E-11,0.4999974,3.978037E-07,1.707547E-06,1.635038E-05,2.345892E-06
0.6658637,-0.03369236,0.4999985,-1.881659E-06,-0.0002320147,0.4307997,0.06180894
0.7668512,-0.1835943,0.5000068,-2.806814E-05,359.9931,2.345502,0.3364317
0.8680497,-0.4539727,0.5000513,4.403526E-05,359.9579,5.798918,0.8306161
0.9681433,-0.8397706,0.5001802,0.0008500908,359.8563,10.72793,1.530408
1.068845,-1.346956,0.5004618,0.003922738,359.6321,17.20162,2.431845
1.169626,-1.974478,0.5009806,0.01199225,359.2184,25.17561,3.499162
1.270442,-2.722973,0.5018251,0.02920035,358.5449,34.58595,4.671522
1.380631,-3.662434,0.5031945,0.0238917,357.4499,46.32415,5.95633
1.480877,-4.602466,0.5048527,-0.06435131,356.1228,57.9997,6.988748
1.581747,-5.394541,0.5068347,-0.3711874,354.5334,70.27245,7.761826
1.682753,-5.841593,0.508889,-0.9871684,352.8815,82.10557,8.170339
1.784102,-6.191533,0.5108347,-1.685568,351.3114,93.06686,8.237154
1.886044,-6.555139,0.5125901,-2.483917,349.8893,103.1249,8.03212
1.986928,-6.979774,0.514102,-3.364762,348.6598,112.2025,7.633618
2.087452,-7.402221,0.515381,-4.344999,347.6158,120.436,7.105949
2.198559,-7.508198,0.5165398,-5.450804,346.6668,128.6204,6.436247
2.299638,-7.331232,0.5173934,-6.425434,345.9651,135.3579,5.786237
2.400162,-7.025668,0.5180882,-7.368065,345.393,141.5364,5.120155
2.501027,-6.587639,0.5186517,-8.288757,344.9268,147.2956,4.446076
2.602948,-6.011084,0.5191071,-9.194921,344.5507,152.7194,3.770607
2.703447,-5.302429,0.8106024,-10.07505,344.2536,157.8534,3.100484
2.805356,-4.429306,1.164689,-10.96667,344.0137,163.0433,2.398216
2.914506,-3.321749,1.850074,-11.92067,343.8265,168.5817,1.627646
3.014874,-2.145754,2.654233,-12.79701,343.7186,173.6535,0.9087483
3.115061,-0.8486013,3.629394,-13.59763,343.6723,178.6937,0.1873966
3.216067,0.4892517,4.726895,-13.93451,343.6872,183.7504,359.4623
3.316532,1.820036,5.888051,-13.82886,343.7622,188.7529,358.7489
3.417139,3.15287,6.951514,-13.56701,343.896,193.7333,358.048
3.518259,4.492744,7.920274,-13.15009,344.0877,198.7078,357.3624
3.620738,5.678103,8.799598,-12.45857,344.3381,203.7154,356.6919
3.72085,6.33546,9.558934,-11.52589,344.6345,208.5728,356.0652
3.821123,6.411432,10.22083,-10.59102,344.9797,213.4028,355.4697
3.931099,6.205408,10.83288,-9.564949,345.4099,218.6583,354.8579
4.031959,5.858076,11.29017,-8.62331,345.8481,223.4392,354.3384
4.133145,5.436599,11.64861,-7.598348,346.3257,228.1978,353.8602
4.234145,5.053973,11.90615,-6.437163,346.8365,232.9096,353.4281
4.334643,4.77984,12.06301,-5.173293,347.3745,237.5607,353.0451
4.435851,4.612659,12.12084,-3.791886,347.9421,242.2075,352.708
4.536935,4.571542,12.07825,-2.307005,348.5307,246.812,352.4214
4.640636,4.754559,11.93047,-0.7536851,349.1527,251.4986,352.18
4.748159,5.162745,11.66521,0.7854449,349.8122,256.3195,351.9865
4.848342,5.82341,11.31635,1.772403,350.4358,260.7772,351.8583
4.94977,6.50319,10.86282,2.162401,351.072,265.2582,351.7794
5.050854,7.20103,10.31044,2.092293,351.7069,269.6931,351.7511
5.151045,7.93771,9.664025,1.880754,352.3333,274.0597,351.7718
5.251359,8.674343,8.919904,1.522364,352.954,278.4039,351.8401
5.351634,9.31633,8.124122,1.141518,353.5645,282.7199,351.9547
5.45494,9.455512,7.214943,0.755874,354.1796,287.14,352.1197
5.555452,9.25493,6.229825,0.4608376,354.7612,291.416,352.3241
5.656737,8.871804,5.136967,0.3357738,355.3275,295.7015,352.5719
5.756948,8.386177,3.956644,0.3188696,355.8654,299.9195,352.8565
5.857046,7.795306,2.67934,0.4079719,356.378,304.1118,353.1777
5.963753,7.192103,1.209469,0.7055427,356.8943,308.5583,353.5581
6.064839,6.996251,0.4997421,1.059679,357.28,312.0677,353.8858
6.165652,6.98835,0.5031608,1.293482,357.4723,313.8908,354.0651
6.266936,7.073053,0.5030862,1.607424,357.533,314.479,354.1242
6.367157,7.25199,0.5031496,1.995543,357.4821,313.9858,354.0746
6.468207,7.530954,0.5033452,2.463443,357.3256,312.4951,353.9273
6.568565,7.920536,0.5036786,2.969778,357.0594,310.0379,353.6934
6.669247,8.44908,0.5041913,3.445747,356.6494,306.4174,353.37
6.770342,9.047379,0.5049413,3.668338,356.0496,301.4043,352.966
6.870431,9.35038,0.50583,3.543077,355.3376,295.7791,352.5768
6.971312,9.271765,0.5066194,3.437256,354.7047,290.9952,352.302
7.080628,9.217247,0.5072798,3.350575,354.1744,287.1025,352.1181
7.181944,9.198781,0.5077089,3.29989,353.8298,284.6155,352.0197
